Rank,Game Title,Platform,Year,fa,Publisher,North America,Europe,Japan,Rest of World,Global
1,Wii Sports,Wii,2006,Sports,Nintendo,41.29,28.91,3.77,8.44,82.4
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.5,12.61,3.77,3.25,35.13
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.55,10.87,3.27,2.93,32.62
5,Pokemon Red / Green / Blue Version,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.2,9.08,6.49,2.87,29.66
8,Wii Play,Wii,2006,Misc,Nintendo,13.95,9.17,2.93,2.84,28.88
9,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
10,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.25,6.79,4.7,2.2,27.94
11,Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.93,1.93,2.75,24.65
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.67,7.42,4.13,1.9,23.11
13,Pokemon Gold / Silver Version,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1
14,Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.14,22.69
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,8.98,8.42,2.53,1.78,21.71
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.71,4.85,0.24,1.63,21.43
17,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
18,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.17,4.16,2.04,20.12
20,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,6.44,8.19,0.89,3.84,19.36
21,Pokemon Diamond / Pearl Version,DS,2006,Role-Playing,Nintendo,6.37,4.44,6.04,1.36,18.21
22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
25,Pokemon Ruby / Sapphire Version,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
26,Brain Age 2: More Training in Minutes a Day,DS,2005,Misc,Nintendo,3.43,5.35,5.32,1.18,15.28
27,Pokemon Black / White Version,DS,2010,Role-Playing,Nintendo,5.49,3.12,5.65,0.81,15.07
28,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,8.82,4.91,0.06,1.24,15.03
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
30,Pokemon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
31,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,8.88,4.19,0.13,1.3,14.49
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.44,3.63,0.11,1.09,14.28
33,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.46,3.56,0.08,1.28,13.38
34,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.83,5.5,0.59,2.45,13.37
35,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,7.99,4.15,0.06,1.08,13.29
36,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.47,5.65,0.49,1.59,13.19
37,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
38,Pokemon X/Y,3DS,2013,Role-Playing,Nintendo,4.41,3.26,4.29,0.74,12.69
39,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.48,2.47,2.64,0.98,12.57
40,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.86,4.3,0.48,1.8,12.44
41,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.48,3.42,5.33,0.87,12.09
42,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.88,2.81,0.13,1.19,12.02
43,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
44,Pokemon Heart Gold / Soul Silver Version,DS,2009,Role-Playing,Nintendo,4.31,2.69,3.96,0.76,11.71
45,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
46,The Sims,PC,2000,Simulation,Electronic Arts,11.22,0.02,0,0,11.24
47,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6,3.3,1.2,0.73,11.23
48,Super Mario Land 2: 6 Golden Coins,GB,1992,Platform,Nintendo,6.16,2.04,2.69,0.29,11.18
49,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
50,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.67,3.06,0.14,1.01,10.88
51,Mario Kart 7,3DS,2011,Racing,Nintendo,4.11,3.25,2.47,0.78,10.61
52,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.89,4.77,0.81,2.11,10.58
53,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
54,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.95,3.59,0.38,1.61,10.53
55,Pokemon FireRed / LeafGreen Version,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
56,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.69,3.64,0.44,1.59,10.35
57,Super Mario 64,DS,2004,Platform,Nintendo,4.99,3.04,1.25,0.96,10.24
58,World of Warcraft,PC,2004,Role-Playing,Activision,3.96,6.13,0,0,10.09
59,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.57,2.71,2.07,0.73,10.08
60,Just Dance 3,Wii,2011,Misc,Ubisoft,5.92,3.1,0,1.05,10.07
61,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
62,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,6.94,1.92,0.08,0.77,9.71
64,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,3.74,3.51,0.38,1.91,9.55
65,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.28,2.49,0.04,0.73,9.54
66,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
67,Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.84,0.01,0.77,9.42
68,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.44,2.22,0.04,0.7,9.41
69,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3
70,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.83,2.34,0.13,0.88,9.17
71,Mario Party DS,DS,2007,Misc,Nintendo,4.38,1.83,1.98,0.68,8.88
72,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
73,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.29,2.41,2.35,0.54,8.59
74,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
75,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,4.73,2.73,0.1,0.8,8.36
76,Wii Party,Wii,2010,Misc,Nintendo,1.74,3.42,2.49,0.68,8.33
77,Mario Party 8,Wii,2007,Misc,Nintendo,3.72,2.18,1.58,0.71,8.19
78,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.03,4.97,0.13,2.01,8.14
79,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
80,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
81,Myst,PC,1994,Adventure,Red Orb,4.91,2.79,0,0.33,8.03
82,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.84,0.66,0.91,7.97
83,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,3.04,1.73,2.69,0.43,7.9
84,Pokemon Black / White Version 2,DS,2012,Role-Playing,Nintendo,2.71,1.63,3.12,0.4,7.86
85,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
86,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81
87,The Sims 3,PC,2009,Simulation,Electronic Arts,0.81,6.15,0,0.72,7.69
88,Pokemon Platinum Version,DS,2008,Role-Playing,Nintendo,2.74,1.7,2.69,0.54,7.67
89,Animal Crossing: New Leaf,3DS,2012,Action,Nintendo,1.58,1.7,4.04,0.35,7.67
90,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.88,2.8,0.24,1.74,7.65
